Identifiant;Type Objet;Modèle;N° Voie Pair;N° Voie Impair;Voie;Commune;Disponibilité;Début Indisponibilité;Fin Indisponibilité;Motif Indisponibilité;geo_shape;geo_point_2d
450025443;FONTAINE_BOIS;Wallace Bois;;;ROUTE DE LA TOURELLE;PARIS 12EME ARRONDISSEMENT;NON;2020-06-23T02:00:00+00:00;2021-03-31T02:00:00+00:00;APP A REPARER;"{""type"": ""Point"", ""coordinates"": [2.430471293715701, 48.835751381565636]}";48.8357513816,2.43047129372
450025439;FONTAINE_BOIS;Wallace Bois;;;ROUTE DE LA TOURELLE;PARIS 12EME ARRONDISSEMENT;NON;2020-11-23T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.428406772327191, 48.840317076123696]}";48.8403170761,2.42840677233
450024982;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;ALLEE ADRIENNE LECOUVREUR;PARIS 7EME ARRONDISSEMENT;NON;2020-12-08T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.299388043979575, 48.85620797984367]}";48.8562079798,2.29938804398
450071453;FONTAINE_BOIS;Particulier;122;;RUE DES POISSONNIERS;PARIS 18EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.353225631351044, 48.89497905583234]}";48.8949790558,2.35322563135
450071807;FONTAINE_BOIS;GHM Bois;2;;SQUARE ANDRE LEFEVRE;PARIS 5EME ARRONDISSEMENT;NON;2020-12-07T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.345410970525724, 48.85165028622721]}";48.8516502862,2.34541097053
450072327;FONTAINE_BOIS;Particulier;;;SQUARE SAINT LAMBERT;PARIS 15EME ARRONDISSEMENT;NON;2020-12-09T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.297229117168131, 48.84181327963021]}";48.8418132796,2.29722911717
450072110;FONTAINE_BOIS;Ville de Paris Bois;;;ROUTE DE LA SEINE A LA BUTTE-MORTEMART;PARIS 16EME ARRONDISSEMENT;NON;2020-11-16T01:00:00+00:00;2021-04-13T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.247834784283396, 48.852786609564085]}";48.8527866096,2.24783478428
450072207;FONTAINE_BOIS;GHM Bois;;;SQUARE LOUIS SAY;PARIS 13EME ARRONDISSEMENT;NON;2020-12-03T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.361917479167575, 48.83235704892765]}";48.8323570489,2.36191747917
450071824;FONTAINE_BOIS;Particulier;;FACE 65;QUAI D ORSAY;PARIS 7EME ARRONDISSEMENT;NON;2020-12-08T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.306428908850735, 48.86266040555054]}";48.8626604056,2.30642890885
450072220;FONTAINE_BOIS;GHM Bois;;;PARC DE CHOISY;PARIS 13EME ARRONDISSEMENT;NON;2020-12-03T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.360462669590653, 48.82848669842355]}";48.8284866984,2.36046266959
450072468;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;RUE MARIA DERAISMES;PARIS 17EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.3265023982821402, 48.894753266298785]}";48.8947532663,2.32650239828
450070528;FONTAINE_BOIS;Ville de Paris Bois;;;ROUTE DE SEVRES A NEUILLY;PARIS 16EME ARRONDISSEMENT;NON;2020-11-18T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.2379478090484, 48.85217867120727]}";48.8521786712,2.23794780905
450072617;FONTAINE_BOIS;GHM Bois;;;PARC DE BELLEVILLE;PARIS 20EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.385530232728121, 48.871120280583305]}";48.8711202806,2.38553023273
450071852;FONTAINE_BOIS;GHM Bois;;17F;JARDIN DES CHAMPS ELYSEES;PARIS 8EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.311186295943164, 48.86716159420147]}";48.8671615942,2.31118629594
450072338;FONTAINE_BOIS;Bayard D1;;41F;BOULEVARD DU GENERAL MARTIAL VALIN;PARIS 15EME ARRONDISSEMENT;NON;2020-12-08T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.272071973788883, 48.83751551294232]}";48.8375155129,2.27207197379
450072287;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;PARC MONTSOURIS;PARIS 14EME ARRONDISSEMENT;NON;2020-12-10T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.339633301522581, 48.823787869217114]}";48.8237878692,2.33963330152
450072139;FONTAINE_BOIS;GHM Bois;;15F;AVENUE JEAN AICARD;PARIS 11EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.380755563828775, 48.865849546254864]}";48.8658495463,2.38075556383
450072539;FONTAINE_BOIS;GHM Bois;;;SQUARE JEHAN RICTUS;PARIS 18EME ARRONDISSEMENT;NON;2021-02-09T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.3386301698008802, 48.88482485212241]}";48.8848248521,2.3386301698
450072461;FONTAINE_BOIS;Bayard D1;;32F;RUE ANDRE BRECHET;PARIS 17EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.3248246116233933, 48.89899583226108]}";48.8989958323,2.32482461162
450072546;FONTAINE_BOIS;Bayard D1;;;RUE DE LA MOSKOWA;PARIS 18EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.335625486252908, 48.89682912533996]}";48.8968291253,2.33562548625
450071858;FONTAINE_BOIS;GHM Bois;;;JARDIN DES CHAMPS ELYSEES;PARIS 8EME ARRONDISSEMENT;NON;2020-12-04T01:00:00+00:00;2021-04-30T02:00:00+00:00;;"{""type"": ""Point"", ""coordinates"": [2.312361129236015, 48.86920782634932]}";48.8692078263,2.31236112924
450072132;FONTAINE_BOIS;Bayard D1;34F;;PASSAGE CHARLES DALLERY;PARIS 11EME ARRONDISSEMENT;NON;2020-12-07T01:00:00+00:00;;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.376762097965089, 48.856021756199105]}";48.8560217562,2.37676209797
450072133;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;7F;RUE DU GENERAL BLAISE;PARIS 11EME ARRONDISSEMENT;NON;2020-12-07T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.378563243336115, 48.861639352296436]}";48.8616393523,2.37856324334
450072641;FONTAINE_BOIS;GHM Bois;;47F;RUE LOUIS LUMIERE;PARIS 20EME ARRONDISSEMENT;NON;2020-12-07T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.41150292305622, 48.860160822985655]}";48.860160823,2.41150292306
450071877;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;PARC MONCEAU;PARIS 8EME ARRONDISSEMENT;NON;2020-12-04T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.308783940349189, 48.87936037008941]}";48.8793603701,2.30878394035
450071912;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;SQUARE BERLIOZ;PARIS 9EME ARRONDISSEMENT;NON;2020-12-11T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.330075337078842, 48.88325295984787]}";48.8832529598,2.33007533708
450072303;FONTAINE_BOIS;Particulier;;;RUE DES THERMOPYLES;PARIS 14EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.319557442534415, 48.83205733154699]}";48.8320573315,2.31955744253
450077172;FONTAINE_BOIS;GHM Bois;;;RUE VITRUVE;PARIS 20EME ARRONDISSEMENT;NON;2020-12-03T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.401467283150126, 48.85594112325968]}";48.8559411233,2.40146728315
450077559;FONTAINE_BOIS;GHM Bois;;;SQUARE JAILLOT;PARIS 5EME ARRONDISSEMENT;NON;2020-12-07T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.350421655004633, 48.84333936093851]}";48.8433393609,2.350421655
450077660;FONTAINE_BOIS;Wallace Bois;;;ROUTE DE LA BRASSERIE;PARIS 12EME ARRONDISSEMENT;NON;2020-11-19T01:00:00+00:00;2021-03-31T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.421694711247952, 48.826972608220274]}";48.8269726082,2.42169471125
450077677;FONTAINE_BOIS;;;;AVENUE CENTRALE;PARIS 20EME ARRONDISSEMENT;NON;2020-11-24T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.4004442129784183, 48.87524054045819]}";48.8752405405,2.40044421298
450077717;FONTAINE_BOIS;;;;RUE LECOURBE;PARIS 15EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.285225448567479, 48.83777136686772]}";48.8377713669,2.28522544857
450077159;FONTAINE_BOIS;Santa Cole Atlantida;;;RUE GILBERT CESBRON;PARIS 17EME ARRONDISSEMENT;NON;2021-02-09T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.311698648495307, 48.8922042674474]}";48.8922042674,2.3116986485
450077166;FONTAINE_BOIS;Bayard D1;;11S;RUE FRANCIS PONGE;PARIS 19EME ARRONDISSEMENT;NON;2020-09-28T02:00:00+00:00;;APP A REPARER;"{""type"": ""Point"", ""coordinates"": [2.394433800721704, 48.88237464566644]}";48.8823746457,2.39443380072
450077433;FONTAINE_BOIS;GHM Bois;;;PARC MONCEAU;PARIS 8EME ARRONDISSEMENT;NON;2020-12-04T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.309549026292153, 48.8798301324138]}";48.8798301324,2.30954902629
450080156;FONTAINE_BOIS;Santa Cole Atlantida;;7;QUAI DU LOT;PARIS 19EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.381360971206223, 48.89959613729076]}";48.8995961373,2.38136097121
450080402;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;CITE INTERNATIONALE UNIVERSITAIRE DE PARIS;PARIS 14EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.341698047280762, 48.81792308702959]}";48.817923087,2.34169804728
450080228;FONTAINE_BOIS;;;;CIMETIERE PARISIEN DE SAINT-OUEN;SAINT-OUEN;NON;2020-11-25T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.35098459813898, 48.906599720283566]}";48.9065997203,2.35098459814
450080238;FONTAINE_BOIS;;;;CIMETIERE PARISIEN DE PANTIN-BOBIGNY;PANTIN;NON;2020-11-23T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.41005026587041, 48.90486804509842]}";48.9048680451,2.41005026587
450080311;FONTAINE_BOIS;;;;CIMETIERE PARISIEN DE BAGNEUX;BAGNEUX;NON;2020-11-24T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.306086605545039, 48.803841172320396]}";48.8038411723,2.30608660555
450080316;FONTAINE_BOIS;;;;CIMETIERE PARISIEN DE BAGNEUX;BAGNEUX;NON;2020-11-24T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.309745527978993, 48.80503891391951]}";48.8050389139,2.30974552798
450080727;FONTAINE_BOIS;GHM Bois;12;;RUE JOLIVET;PARIS 14EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.323523217377884, 48.84096523130699]}";48.8409652313,2.32352321738
450080775;FONTAINE_BOIS;Santa Cole Atlantida;;;RUE DU PRE;PARIS 18EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.362568924322006, 48.89687326956418]}";48.8968732696,2.36256892432
450080165;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;CIMETIERE PARISIEN DE THIAIS;THIAIS;NON;2020-11-24T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.377003792874705, 48.76219856629177]}";48.7621985663,2.37700379287
450080181;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;CIMETIERE PARISIEN DE THIAIS;THIAIS;NON;2020-11-23T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.378415534911963, 48.75617348664098]}";48.7561734866,2.37841553491
450080252;FONTAINE_BOIS;;;;CIMETIERE PARISIEN DE PANTIN-BOBIGNY;PANTIN;NON;2020-11-25T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.40428812269485, 48.906396738047476]}";48.906396738,2.40428812269
450080253;FONTAINE_BOIS;;;;CIMETIERE PARISIEN DE PANTIN-BOBIGNY;PANTIN;NON;2020-11-23T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.414816989442371, 48.909213143057336]}";48.9092131431,2.41481698944
450080276;FONTAINE_BOIS;;;;CIMETIERE PARISIEN DE LA CHAPELLE;SAINT-DENIS;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.361590500261781, 48.90245771155329]}";48.9024577116,2.36159050026
450080288;FONTAINE_BOIS;;;;CIMETIERE PARISIEN D'IVRY;IVRY-SUR-SEINE;NON;2020-11-26T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.367497522650627, 48.81416513149343]}";48.8141651315,2.36749752265
450080294;FONTAINE_BOIS;;;;CIMETIERE PARISIEN D'IVRY;IVRY-SUR-SEINE;NON;2020-11-26T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.370376756491225, 48.810230781249025]}";48.8102307812,2.37037675649
450019310;FONTNE_WALLACE;Caryatides;194;;AVENUE DE VERSAILLES;PARIS 16EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.261037937567787, 48.83914723632047]}";48.8391472363,2.26103793757
450019320;FONTNE_WALLACE;Colonnettes;;;RUE MIRABEAU;PARIS 16EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.27324812266974, 48.847409254783884]}";48.8474092548,2.27324812267
450070406;FONTNE_WALLACE;Caryatides;;;PLACE DE PASSY;PARIS 16EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.277682300001501, 48.85779181181678]}";48.8577918118,2.2776823
450070601;FONTNE_WALLACE;Caryatides;4F;;BOULEVARD DE BELLEVILLE;PARIS 11EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.382861832145395, 48.867273832300995]}";48.8672738323,2.38286183215
450080650;FONTNE_WALLACE;Caryatides;4;;RUE BOURDALOUE;PARIS 9EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.338706451133257, 48.876442276807886]}";48.8764422768,2.33870645113
450071499;FTNE_PETILLANTE;Fontaine pétillante;28F;;RUE D AUBERVILLIERS;PARIS 18EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.365826216310913, 48.886022711011734]}";48.886022711,2.36582621631
450019294;BORNE_FONTAINE;GHM Ronde;12F;;COURS DE VINCENNES;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.400225446152354, 48.84786320168816]}";48.8478632017,2.40022544615
450019292;BORNE_FONTAINE;GHM Ronde;80F;;COURS DE VINCENNES;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.406058144587102, 48.84734400133696]}";48.8473440013,2.40605814459
450077011;FONTAINE_ARCEAU;Fontaine Arceau;154;;AVENUE EMILE ZOLA;PARIS 15EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.295699696173643, 48.846959857785244]}";48.8469598578,2.29569969617
450080592;FONTAINE_ARCEAU;Fontaine Arceau;2;;BOULEVARD ORNANO;PARIS 18EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.349780980561636, 48.89169719276789]}";48.8916971928,2.34978098056
450025549;FONTAINE_BOIS;Wallace Bois;;;ROUTE CEINTURE LAC DAUMESNIL;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.413781122249011, 48.82847706672964]}";48.8284770667,2.41378112225
450025942;FONTAINE_BOIS;Wallace Bois;;;ROUTE DE LA PYRAMIDE;PARIS 12EME ARRONDISSEMENT;NON;2020-11-18T01:00:00+00:00;2021-03-31T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.448702725431136, 48.83086699195331]}";48.830866992,2.44870272543
450071802;FONTAINE_BOIS;GHM Bois;2F;;PLACE PAUL PAINLEVE;PARIS 5EME ARRONDISSEMENT;NON;2020-12-07T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.344276887652916, 48.850186898538816]}";48.8501868985,2.34427688765
450072294;FONTAINE_BOIS;GHM Bois;;1T Face;RUE DES SUISSES;PARIS 14EME ARRONDISSEMENT;NON;2020-12-08T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.314610413982985, 48.831082947526845]}";48.8310829475,2.31461041398
450072328;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;RUE DE L EGLISE;PARIS 15EME ARRONDISSEMENT;NON;2020-12-10T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.289482180163472, 48.84380653600779]}";48.843806536,2.28948218016
450072079;FONTAINE_BOIS;Ville de Paris Bois;;;PARC DE BAGATELLE;PARIS 16EME ARRONDISSEMENT;NON;2020-11-16T01:00:00+00:00;2021-04-13T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.24641578579255, 48.870321996671315]}";48.8703219967,2.24641578579
450072523;FONTAINE_BOIS;GHM Bois;;25;RUE DES CLOYS;PARIS 18EME ARRONDISSEMENT;NON;2020-12-09T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.338099241434875, 48.892139296597854]}";48.8921392966,2.33809924143
450071838;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;PLACE JOFFRE;PARIS 7EME ARRONDISSEMENT;NON;2020-12-08T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.301772156580668, 48.85254879818912]}";48.8525487982,2.30177215658
450072231;FONTAINE_BOIS;GHM Bois;;;SQUARE GEORGES DUHAMEL;PARIS 13EME ARRONDISSEMENT;NON;2020-12-04T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.377824223539955, 48.831999656236654]}";48.8319996562,2.37782422354
450071928;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;SQUARE FREDERICK LEMAITRE;PARIS 10EME ARRONDISSEMENT;NON;2020-12-03T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERME DEMANDE TIERS;"{""type"": ""Point"", ""coordinates"": [2.366698258792237, 48.86930075918309]}";48.8693007592,2.36669825879
450072135;FONTAINE_BOIS;Bayard D1;;;SQUARE LOUIS MAJORELLE;PARIS 11EME ARRONDISSEMENT;NON;2020-12-07T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.381552461933467, 48.852030116126116]}";48.8520301161,2.38155246193
450072154;FONTAINE_BOIS;GHM Bois;170F;;RUE DE LA ROQUETTE;PARIS 11EME ARRONDISSEMENT;NON;2020-12-04T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.385878845508363, 48.85925236214253]}";48.8592523621,2.38587884551
450072425;FONTAINE_BOIS;GHM Bois;;;PARC SAINTE PERINE;PARIS 16EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.268985897181793, 48.84486014709197]}";48.8448601471,2.26898589718
450072259;FONTAINE_BOIS;GHM Bois;;;RUE DU MOULIN DE LA POINTE;PARIS 13EME ARRONDISSEMENT;NON;2020-12-04T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.356806312547352, 48.82103651778016]}";48.8210365178,2.35680631255
450072428;FONTAINE_BOIS;GHM Bois;;;AVENUE EDOUARD VAILLANT;PARIS 16EME ARRONDISSEMENT;NON;2020-12-03T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.2543304946021, 48.83746706458628]}";48.8374670646,2.2543304946
450072618;FONTAINE_BOIS;GHM Bois;;;PARC DE BELLEVILLE;PARIS 20EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.386402640647765, 48.87072602974755]}";48.8707260297,2.38640264065
450072184;FONTAINE_BOIS;GHM Bois;54;;RUE DE FECAMP;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.401336493621122, 48.836294627095704]}";48.8362946271,2.40133649362
450072136;FONTAINE_BOIS;Particulier;;19B;RUE DE L ORILLON;PARIS 11EME ARRONDISSEMENT;NON;2020-12-08T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.375283152654588, 48.87009956512223]}";48.8700995651,2.37528315265
450071745;FONTAINE_BOIS;Bayard D1;10;;RUE DES ROSIERS;PARIS 4EME ARRONDISSEMENT;NON;2020-12-03T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.359950991237783, 48.857623916542984]}";48.8576239165,2.35995099124
450072558;FONTAINE_BOIS;GHM Bois;;53F;QUAI DE LA SEINE;PARIS 19EME ARRONDISSEMENT;NON;2021-02-08T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.374969025382646, 48.88677563691012]}";48.8867756369,2.37496902538
450072630;FONTAINE_BOIS;GHM Bois;;3;RUE ELISA BOREY;PARIS 20EME ARRONDISSEMENT;NON;2020-12-07T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.389826245543898, 48.86691239250951]}";48.8669123925,2.38982624554
450072638;FONTAINE_BOIS;GHM Bois;;;JARDIN DE LA GARE DE CHARONNE;PARIS 20EME ARRONDISSEMENT;NON;2020-12-07T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.409166256804789, 48.85211405252131]}";48.8521140525,2.4091662568
450070467;FONTAINE_BOIS;Ville de Paris Bois;;;ROUTE DE SEVRES A NEUILLY;PARIS 16EME ARRONDISSEMENT;NON;2020-11-18T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.247793109258803, 48.8736947658657]}";48.8736947659,2.24779310926
450071733;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;SQUARE DU VERT GALANT;PARIS 1ER ARRONDISSEMENT;NON;2020-12-03T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.340628993724699, 48.85735781351743]}";48.8573578135,2.34062899372
450077656;FONTAINE_BOIS;Ville de Paris Bois;;;RUE LE TASSE;PARIS 16EME ARRONDISSEMENT;NON;2020-11-24T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.285763842550808, 48.86221940488875]}";48.8622194049,2.28576384255
450077690;FONTAINE_BOIS;;;;RUE CAULAINCOURT;PARIS 18EME ARRONDISSEMENT;NON;2020-11-27T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.331607648778825, 48.886153700897204]}";48.8861537009,2.33160764878
450077700;FONTAINE_BOIS;;;;RUE PIERRE REBIERE;PARIS 17EME ARRONDISSEMENT;NON;2020-11-26T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.317078150972449, 48.89730637495542]}";48.897306375,2.31707815097
450077722;FONTAINE_BOIS;;;;AVENUE TRANSVERSALE;PARIS 14EME ARRONDISSEMENT;NON;2020-11-25T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.324277624764513, 48.83873694606608]}";48.8387369461,2.32427762476
450077749;FONTAINE_BOIS;Bayard BF3;;23;BOULEVARD DE MENILMONTANT;PARIS 20EME ARRONDISSEMENT;NON;2020-11-23T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.394655666833803, 48.85883116137981]}";48.8588311614,2.39465566683
450077750;FONTAINE_BOIS;;;23 face;BOULEVARD DE MENILMONTANT;PARIS 20EME ARRONDISSEMENT;NON;2020-11-23T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.393420906843982, 48.8585386165815]}";48.8585386166,2.39342090684
450077752;FONTAINE_BOIS;;;;AVENUE LATERALE DU NORD;PARIS 20EME ARRONDISSEMENT;NON;2020-11-23T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.392481478606962, 48.86140250639436]}";48.8614025064,2.39248147861
