Identifiant;Type Objet;Modèle;N° Voie Pair;N° Voie Impair;Voie;Commune;Disponibilité;Début Indisponibilité;Fin Indisponibilité;Motif Indisponibilité;geo_shape;geo_point_2d
450077697;FONTAINE_BOIS;;;;AVENUE DU TUNNEL;PARIS 18EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.329499548599533, 48.88852615937079]}";48.8885261594,2.3294995486
450077743;FONTAINE_BOIS;;;;AVENUE TRANSVERSALE 2;PARIS 20EME ARRONDISSEMENT;NON;2020-11-23T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.396757410152957, 48.86056615741002]}";48.8605661574,2.39675741015
450077746;FONTAINE_BOIS;;;;AVENUE CIRCULAIRE;PARIS 20EME ARRONDISSEMENT;NON;2020-11-23T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.398110649364786, 48.858814481938104]}";48.8588144819,2.39811064936
450077747;FONTAINE_BOIS;;;;AVENUE DES ACACIAS;PARIS 20EME ARRONDISSEMENT;NON;2020-11-23T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.397098163880487, 48.85907988843191]}";48.8590798884,2.39709816388
450077147;FONTAINE_BOIS;Particulier;;;PARC ANDRE CITROEN;PARIS 15EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.273071356791147, 48.841430675968475]}";48.841430676,2.27307135679
450077758;FONTAINE_BOIS;Bayard BF3;;;AVENUE EUGENE DELACROIX;PARIS 20EME ARRONDISSEMENT;NON;2020-11-23T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.393156707207266, 48.862608144407425]}";48.8626081444,2.39315670721
450077084;FONTAINE_BOIS;Bayard D1;;77;RUE D ALLERAY;PARIS 15EME ARRONDISSEMENT;NON;2020-12-09T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.308107146350091, 48.8365719712051]}";48.8365719712,2.30810714635
450077448;FONTAINE_BOIS;Ville de Paris Bois;;;SQUARE DE ROCAMADOUR;PARIS 16EME ARRONDISSEMENT;NON;2020-11-16T01:00:00+00:00;2021-04-13T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.257499325852868, 48.85212216685002]}";48.8521221669,2.25749932585
450077456;FONTAINE_BOIS;Particulier;220F;;RUE DE LA CROIX NIVERT;PARIS 15EME ARRONDISSEMENT;NON;2020-12-08T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.290171999569424, 48.83682800028384]}";48.8368280003,2.29017199957
450077459;FONTAINE_BOIS;Particulier;;;ESPLANADE MAX GUEDJ;PARIS 15EME ARRONDISSEMENT;NON;2020-12-10T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.278916541111396, 48.84104838683975]}";48.8410483868,2.27891654111
